Title,Avg,Total,Total_males,Total_Females,All_below_18,All_18_29,All_30_44,All_over_45,Males_below_18,Males_18_29,Males_30_44,Males_over_45,Females_below_18,Females_18_29,Females_30_44,Females_over_45,Title_ID,All_rank_below_18,All_rank_18_29,All_rank_30_44,All_rank_over_45,Males_rank_below_18,Males_rank_18_29,Males_rank_30_44,Males_rank_over_45,Females_rank_below_18,Females_rank_18_29,Females_rank_30_44,Females_rank_over_45
Dick Johnson Is Dead,7.4,"6,241","3,780",592,12,"1,050","2,321",817,10,896,"1,987",665,1,126,283,130,tt11394180,7.6,7.7,7.4,7.1,7.9,7.7,7.4,7.1,8.0,7.8,7.4,7.3
Blood & Water,6.7,"2,952",603,867,10,416,644,281,4,127,247,141,5,251,368,125,tt9839146,5.7,6.9,6.5,5.8,5.5,6.6,5.9,4.9,5.0,6.9,7.0,7.0
Ganglands,7.0,"2,349","1,297",117,1,99,574,648,1,78,516,566,0,11,35,60,tt13278100,6.0,6.8,6.9,7.0,6.0,6.9,6.8,7.0,-,5.8,6.9,7.0
Jailbirds New Orleans,6.7,194,57,60,0,19,63,30,0,6,29,17,0,12,31,11,tt15320436,-,6.3,6.6,6.8,-,6.4,6.3,6.6,-,6.2,6.9,6.9
Kota Factory,9.3,"66,527","19,278",984,144,"10,004","5,687",340,134,"9,123","5,316",285,7,405,254,46,tt9432978,9.1,9.2,8.5,6.3,9.6,9.2,8.5,6.4,4.3,9.2,7.5,5.7
Midnight Mass,7.7,"97,937","41,872","15,979",26,"9,863","30,130","13,173",15,"6,662","21,348","9,097",6,"2,638","7,818","3,624",tt10574558,7.0,7.9,7.6,7.6,8.2,7.9,7.6,7.5,4.8,7.7,7.6,7.7
My Little Pony: A New Generation,6.9,"3,274",966,621,21,382,884,176,10,226,502,125,9,132,353,45,tt10101702,6.6,6.9,6.8,5.9,6.6,6.7,6.5,5.4,5.9,7.2,7.5,7.6
Sankofa,7.0,662,353,135,0,33,245,207,0,24,175,145,0,9,64,58,tt0108041,-,6.8,6.9,7.1,-,6.9,6.7,6.8,-,6.6,7.9,8.1
The Great British Baking Show,8.6,"9,534","2,924","2,961",8,"1,098","2,699","1,626",3,509,"1,332",797,4,553,"1,296",789,tt1877368,7.0,8.5,8.5,8.6,7.0,8.3,8.2,8.2,7.3,8.8,8.9,9.1
The Starling,6.3,"11,613","3,888","3,372",2,750,"3,403","2,625",1,314,"1,783","1,435",1,368,"1,521","1,116",tt5164438,5.0,6.1,6.1,6.5,4.0,5.8,5.9,6.2,6.0,6.4,6.5,7.2
